timestamp,id,likes,query,replies,retweets,text,user,outage,outage_state
2012-11-01 23:50:22,264152432282578945,1,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,1.0,3,"Tom May, CEO of Northeast Utilities, the parent company of NSTAR, checked in on customers and crews in Sudbury today. http://bit.ly/UlW9ay ",EversourceMA,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:45:13,264151136792109056,0,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,0.0,0,@NYGovCuomo @lipanews @nationalgridus @nyseandg   It should not be days to get our fire dept back online  it was the same last year,readyforthenet,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:34:44,264148498352590849,1,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,0.0,1,Some amazing video from the Wareham microburst and Dartmouth restorations.  http://on.fb.me/TeL3oO ,EversourceMA,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:34:20,264148399190851584,0,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,0.0,0,"@nationalgridus Call me if you need some help with problems the home owner is responsible for.
    Thanks 
    John",sparky1000,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:31:56,264147793147490304,0,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,1.0,8,Current PSNH statewide w/o power: 885. We're down to three digits!  Outage list: http://www.psnhnews.com/outagelist  #nhsandy,EversourceNH,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:31:30,264147687325179905,0,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,0.0,0,Stop following nationalgridus,Zevimiller,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:30:21,264147396206923777,1,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,1.0,4,Our #MA team is being supported by crews from 31 states & Canada to fully restore service by midnight. #MASandy,nationalgridus,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:29:46,264147250270326786,0,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,1.0,0,"@EvanMansolillo Hi Evan, can you provide us with your location so we can get you an estimated restore time? Thanks.",nationalgridus,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 23:05:01,264141019094859776,1,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,1.0,4,"NSTAR crews have restored power to nearly 400,000 customers and we're in the final stretch! http://bit.ly/Stli49 ",EversourceMA,1,WV OH PA NJ CT MA NY DE MD IN KY MI
2012-11-01 22:41:50,264135186604769280,0,EversourceMA OR EversourceNH OR VelcoVT OR nationalgridus,0.0,0,@nationalgridus Thanks 2 the crew who restored by power today!,drcavanaugh,1,WV OH PA NJ CT MA NY DE MD IN KY MI
